repo,early_commits,sustained_commits,stars,total_issues,issue_closure_rate,healthy
i-just/super-table,11,4,0,0,0.0,1
FrankensteinMazino/File-Sharing-Man,19,0,0,0,0.0,0
Wesley-yang/eth-utils,15,29,0,0,0.0,1
HappyLeslieAlexander/chrome_plus,38,132,0,0,0.0,1
Cyber-Finn/space-station-14,2366,10600,1,0,0.0,1
bryce-a-smith/fall2023-workbook8,15,0,0,0,0.0,0
1juho1/CIST2110-S24-Programming-In-Python-Labs,23,14,0,0,0.0,1
LlibertM/qmk_firmware,394,381,0,0,0.0,1
nfzwyio/genshin-db,24,24,0,0,0.0,1
SpearBrave/javascript-projects,23,0,0,0,0.0,0
G413X/ru-my-first-pullrequest_fork,559,140,0,0,0.0,1
AllisanLu/Quantum,296,165,0,0,0.0,1
Akshay444Kumar/new_chatapp,16,0,0,0,0.0,0
Wesley-yang/gin-vue-admin,80,284,0,0,0.0,1
Planck1035/shuqi.github.io,74,0,0,0,0.0,0
codeinvain/comfyui_segment_anything,20,0,2,0,0.0,0
Tony7466/LaZagne,28,7,0,0,0.0,1
juanlujand/juice-shop,9,9,0,0,0.0,1
chrisawi/flatpak,46,0,0,0,0.0,0
democ98/doc-v2,24,112,0,0,0.0,1
Nerivec/zigbee-herdsman,100,552,0,0,0.0,1
Molkars/sleigh-sys,15,0,0,0,0.0,0
mxwl888/Telegraph-Image,36,0,0,0,0.0,0
Nadin21/basic-js,21,0,0,0,0.0,0
NikolayAverin/data_structures_project,16,0,0,0,0.0,0
HTBNighty/pingbypass,18,0,0,0,0.0,0
Daniel-Khodabakhsh/zig,1361,2351,0,0,0.0,1
nbariletto/nbariletto.github.io,71,32,0,0,0.0,1
mlibanori/images,286,39,0,0,0.0,1
fitchmultz/chatbot-ui,173,0,0,0,0.0,0
MathiasDuesing/Mastering-GitHub-Copilot-for-Paired-Programming,14,323,0,0,0.0,1
kogby/github-ws,26,0,0,0,0.0,0
james1993/xv7-riscv,20,5,0,0,0.0,1
wjlfish/lobe-chat,375,862,0,0,0.0,1
AoThen/luci-app-alist,4,62,0,0,0.0,1
hevans66/prometheus-docs,33,451,0,0,0.0,1
xunonxyz/DataRoom,26,154,0,0,0.0,1
zcharym/ChatGPT-Next-Web,178,768,0,0,0.0,1
Dark0-04/Yelwz_King,38,35,0,0,0.0,1
yuunlimm/aptos-indexer-processors,31,0,0,0,0.0,0
lichuanzhang/go-sail,14,69,0,0,0.0,1
Matiasek2003/ESET-KeyGen,260,1792,0,0,0.0,1
sjgllgh/linkis,26,113,0,0,0.0,1
asaadjaber/special-parakeet-fork,46,12,0,0,0.0,1
yoonha97/Tech_Interview_for_Beginner,92,54,0,0,0.0,1
yzewei/libs,288,59,0,0,0.0,1
SaiTaoTechnology/quivr,175,0,0,0,0.0,0
Raalsky/pytorch-lightning,187,0,0,0,0.0,0
UnmarkedFractal/sa2,48,336,0,0,0.0,1
charmfocus/go-zero,107,401,0,0,0.0,1
adobe-gw2023-project-bricks/aem-xlate-boilerplate,18,6,0,0,0.0,1
tottenjordan/vector-io,111,0,0,0,0.0,0
9guozhi/weread2notion-pro,16,0,0,0,0.0,0
Bumbox/Home-assignment---BOA-Ideas,17,0,0,0,0.0,0
Liamolucko/zed,1081,0,0,0,0.0,0
ICE-BREAKER2353/miryoku_zmk,18,7,0,0,0.0,1
truls-p/dbt-core,63,0,0,0,0.0,0
Ming-jiayou/semantic-kernel,394,2230,0,0,0.0,1
grhuangmsft/azure-powershell,266,202,0,0,0.0,1
MyBlackHole/postgres,463,632,0,0,0.0,1
HalimNaim/keyd,16,0,0,0,0.0,0
harveyelliot/template,48,0,0,0,0.0,0
nirban07/volto,63,0,0,0,0.0,0
ThadshaSelva/PRM,69,0,0,0,0.0,0
liubo0902/InstantID,48,0,0,0,0.0,0
lzwshi/padavan-4.4,17,0,0,0,0.0,0
Kyukoshin/Wealth_Health,18,0,0,0,0.0,0
dvmason/capy,21,0,0,0,0.0,0
SiewLeng/reactive-java-workshop,22,0,0,0,0.0,0
dawenhaozx/openwrt-passwall2,68,232,0,0,0.0,1
mil0li/lobe-chat,349,7006,0,0,0.0,1
malekaloui1/jobZen,92,0,0,0,0.0,0
vikas-saini-7/assignment-portal-server,26,0,0,0,0.0,0
CanerAkar/yolks,24,3,1,0,0.0,1
Voldex77/CPP_Exercises,30,7,0,0,0.0,1
Stammis49/LoopWorkspace,13,176,0,0,0.0,1
JohnathanGallimore/assignment-1,21,0,0,0,0.0,0
antonysigma/compile-time-init-build,85,509,1,0,0.0,1
me-marchi/tech-challenge,49,0,0,0,0.0,0
ynkan/nanomq,314,299,0,0,0.0,1
sq6jnx/JOPy,17,0,0,0,0.0,0
itsoluwatobby/csv-to-sql-insert,19,0,0,0,0.0,0
taaaf11/website,58,67,0,0,0.0,1
aliddell/acquire-common,38,17,0,0,0.0,1
assimilate-technologies/insights,107,1690,0,0,0.0,1
miniedwins/cpython,1077,3271,0,0,0.0,1
swkim95/DD4hep,87,21,0,0,0.0,1
Johnwillliam/pixi,68,0,0,0,0.0,0
step-security-bot/reddit-expanded-community-filter-userscript,91,74,0,0,0.0,1
AlphaDialloYU/microblog-capstone,69,0,0,0,0.0,0
CaioCosta23/template-TP-1-etapa-1,19,0,0,0,0.0,0
kyynk/Frontend,272,0,0,0,0.0,0
MarceloDCastro/painel-transporthos,38,0,0,0,0.0,0
StekPerepolnen/ydb,2154,24255,0,0,0.0,1
gtsueng/nde-metadata-corrections,14,112,0,0,0.0,1
Carbon-copy-PS/multi-language-al-folio,35,0,0,0,0.0,0
parvez/brands,60,0,0,0,0.0,0
Va1bhav-Gupta/assignments,46,0,0,0,0.0,0
Heewon318/CHIC_24_machine-learning-study,468,0,0,0,0.0,0
klkvr/compilers,55,0,0,0,0.0,0
thorstone137/Flowise,645,887,0,0,0.0,1
yixuqiu/dolibarr,3272,4267,0,0,0.0,1
inkfin/CS-AutoExec,40,100,0,0,0.0,1
aybzakaria5/AirBnB_clone_v2,72,0,1,0,0.0,0
r-earth-or/ChatGPT-Next-Web,160,736,0,0,0.0,1
atarora/landing_page,812,2231,0,0,0.0,1
isaac-kapela/Sexta-Marcha-Trainee-2023.2,85,0,0,0,0.0,0
Valentun2/nodejs-homework-rest-api,16,0,0,0,0.0,0
XSSpark/DexprOS,8,10,0,0,0.0,1
zhengquan88/zhengquan88.github.io,21,0,0,0,0.0,0
windowM/Algorithm,18,53,0,0,0.0,1
Yyunozorus/developer-roadmap,53,0,1,0,0.0,0
CarsonHedrich/Bloodelic,31,0,0,0,0.0,0
ovo-Tim/pyOCCT,74,0,1,0,0.0,0
AdarshPuppala/is601-102,23,0,0,0,0.0,0
mn-steady/MinnSec,205,0,0,0,0.0,0
danikirish/pf2e,173,0,0,0,0.0,0
gnmearacaun/Hyprland-Dots,61,0,0,0,0.0,0
SillyTavern/transformers.js,108,582,2,0,0.0,1
lsamuelson512/dances-with-particles,74,37,0,0,0.0,1
kiyeonk/ksoup,50,0,0,0,0.0,0
ArnaudBarre/TypeScript,302,896,0,0,0.0,1
